table_row,ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,assignee_name,CY_2010,CY_2011,CY_2012,CY_2013,CY_2014,CY_ALL
1,1,AL,(U.S.),ALABAMA,~INDIVIDUALLY OWNED PATENT,92,80,78,109,81,440
2,1,AL,(U.S.),ALABAMA,NEKTAR THERAPEUTICS,18,20,27,40,33,138
3,1,AL,(U.S.),ALABAMA,"ADTRAN, INC.",14,5,15,29,35,98
4,1,AL,(U.S.),ALABAMA,AUBURN UNIVERSITY,12,10,11,20,14,67
5,1,AL,(U.S.),ALABAMA,CEDAR RIDGE RESEARCH LLC,47,14,1,2,2,66
6,1,AL,(U.S.),ALABAMA,UAB RESEARCH FOUNDATION,7,9,10,17,21,64
7,1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",11,8,18,14,13,64
8,1,AL,(U.S.),ALABAMA,"AT& T INTELLECTUAL PROPERTY I, L.P.",10,11,10,9,16,56
9,1,AL,(U.S.),ALABAMA,"CORRELATED MAGNETICS RESEARCH, LLC",0,2,11,16,20,49
10,1,AL,(U.S.),ALABAMA,"UNIVERSAL LIGHTING TECHNOLOGIES, INC.",5,5,14,14,8,46
11,1,AL,(U.S.),ALABAMA,UNIVERSITY OF ALABAMA,1,6,6,5,16,34
12,1,AL,(U.S.),ALABAMA,CFD RESEARCH CORPORATION,5,3,4,7,6,25
13,1,AL,(U.S.),ALABAMA,INTERNATIONAL BUSINESS MACHINES CORPORATION,8,7,6,2,1,24
14,1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, ARMY",4,3,3,5,5,20
15,1,AL,(U.S.),ALABAMA,BOEING COMPANY,1,3,3,8,4,19
16,1,AL,(U.S.),ALABAMA,"HONDA GIKEN KOGYO KABUSHIKI KAISHA (HONDA MOTOR CO., LTD.)",3,1,5,6,3,18
17,1,AL,(U.S.),ALABAMA,"SYNAPSE WIRELESS, INC.",1,5,3,4,4,17
18,1,AL,(U.S.),ALABAMA,"BARON SERVICES, INC.",3,3,2,4,2,14
19,1,AL,(U.S.),ALABAMA,FONTAINE FIFTH WHEEL COMPANY,5,4,2,2,0,13
20,1,AL,(U.S.),ALABAMA,"MEDICAL COMPONENTS, INC.",6,2,1,3,0,12
21,1,AL,(U.S.),ALABAMA,"ATRION MEDICAL PRODUCTS, INC.",0,2,7,2,0,11
22,1,AL,(U.S.),ALABAMA,"SOUTHERN COMPANY SERVICES, INC.",3,2,3,1,2,11
23,1,AL,(U.S.),ALABAMA,INTERGRAPH TECHNOLOGIES COMPANY,3,1,2,1,3,10
24,1,AL,(U.S.),ALABAMA,"KING KUTTER, INC.",1,0,4,3,2,10
25,1,AL,(U.S.),ALABAMA,NEXOLVE CORPORATION,3,3,2,2,0,10
26,1,AL,(U.S.),ALABAMA,Q-TRACK CORPORATION,2,2,2,2,2,10
27,1,AL,(U.S.),ALABAMA,SOUTHERN RESEARCH INSTITUTE,3,2,2,1,2,10
28,1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, DEPARTMENT OF HEALTH & HUMAN SERVICES",3,2,1,3,1,10
29,1,AL,(U.S.),ALABAMA,"UNITED TOLL SYSTEMS, INC.",4,2,3,1,0,10
30,1,AL,(U.S.),ALABAMA,FONTAINE TRAILER CO.,0,3,1,1,3,8
31,1,AL,(U.S.),ALABAMA,"SERINA THERAPEUTICS, INC.",0,1,3,3,1,8
32,1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, DEPARTMENT OF AGRICULTURE",2,2,1,1,2,8
33,1,AL,(U.S.),ALABAMA,WEST CORPORATION,1,0,1,1,5,8
34,1,AL,(U.S.),ALABAMA,YKK CORPORATION OF AMERICA,2,0,3,3,0,8
35,1,AL,(U.S.),ALABAMA,A. O. SMITH CORPORATION,1,3,1,0,2,7
36,1,AL,(U.S.),ALABAMA,"BIOCRYST PHARMACEUTICALS, INC.",0,1,3,2,1,7
37,1,AL,(U.S.),ALABAMA,"FOXRUN USA, LLC",2,1,2,0,2,7
38,1,AL,(U.S.),ALABAMA,INTERGRAPH SOFTWARE TECHNOLOGIES COMPANY,0,1,3,2,1,7
39,1,AL,(U.S.),ALABAMA,NEPTUNE TECHNOLOGY GROUP INC.,0,0,0,2,5,7
40,1,AL,(U.S.),ALABAMA,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1,0,1,2,3,7
41,1,AL,(U.S.),ALABAMA,SOUNDBLAST TECHNOLOGIES LLC.,0,2,4,0,1,7
42,1,AL,(U.S.),ALABAMA,"STRATA PROXIMITY SYSTEMS, LLC",0,0,2,2,3,7
43,1,AL,(U.S.),ALABAMA,"STREAMLINE AUTOMATION, LLC",0,0,2,4,1,7
44,1,AL,(U.S.),ALABAMA,UNIVERSITY OF SOUTH ALABAMA,2,0,0,3,2,7
45,1,AL,(U.S.),ALABAMA,"EGEN, INC.",0,2,0,3,1,6
46,1,AL,(U.S.),ALABAMA,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,0,2,0,3,1,6
47,1,AL,(U.S.),ALABAMA,JOHNSON OUTDOORS INC.,4,1,0,1,0,6
48,1,AL,(U.S.),ALABAMA,MITSUBISHI POLYCRYSTALLINE SILICON AMERICA CORPORATION (MIPSA),0,0,2,4,0,6
49,1,AL,(U.S.),ALABAMA,MUELLER INTERNATIONAL INC.,0,0,0,5,1,6
50,1,AL,(U.S.),ALABAMA,"PERKINS TECHNICAL SERVICES, INC.",1,1,1,2,1,6
51,1,AL,(U.S.),ALABAMA,PPG INDUSTRIES OHIO INC.,0,1,3,0,2,6
52,1,AL,(U.S.),ALABAMA,SMARTSKY NETWORKS LLC,0,0,1,3,2,6
53,1,AL,(U.S.),ALABAMA,ALEREON INC.,4,0,1,0,0,5
54,1,AL,(U.S.),ALABAMA,AVOCENT CORPORATION,4,0,0,0,1,5
55,1,AL,(U.S.),ALABAMA,"CARINA TECHNOLOGY, INC.",0,0,3,1,1,5
56,1,AL,(U.S.),ALABAMA,DURECT CORPORATION,1,0,1,0,3,5
57,1,AL,(U.S.),ALABAMA,"EBSCO INDUSTRIES, INC.",0,2,2,0,1,5
58,1,AL,(U.S.),ALABAMA,"GE INTELLIGENT PLATFORMS EMBEDDED SYSTEMS, INC.",1,0,4,0,0,5
59,1,AL,(U.S.),ALABAMA,PHIFER INCORPORATED,1,1,1,0,2,5
60,1,AL,(U.S.),ALABAMA,RHEEM MANUFACTURING COMPANY,3,1,0,0,1,5
61,1,AL,(U.S.),ALABAMA,SOUTHERN COMPANY,1,1,2,0,1,5
62,1,AL,(U.S.),ALABAMA,"TORAY FLUOROFIBERS (AMERICA), INC.",2,1,2,0,0,5
63,1,AL,(U.S.),ALABAMA,"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC",0,0,1,1,3,5
64,1,AL,(U.S.),ALABAMA,UOP,1,0,0,4,0,5
65,2,AK,(U.S.),ALASKA,~INDIVIDUALLY OWNED PATENT,15,20,19,23,28,105
66,2,AK,(U.S.),ALASKA,UNIVERSITY OF ALASKA,2,3,0,2,1,8
67,2,AK,(U.S.),ALASKA,BP CORPORATION NORTH AMERICA INC.,0,0,2,3,0,5
68,3,AZ,(U.S.),ARIZONA,~INDIVIDUALLY OWNED PATENT,268,265,288,324,334,1479
69,3,AZ,(U.S.),ARIZONA,INTERNATIONAL BUSINESS MACHINES CORPORATION,267,297,231,232,332,1359
70,3,AZ,(U.S.),ARIZONA,INTEL CORPORATION,207,128,97,114,113,659
71,3,AZ,(U.S.),ARIZONA,HONEYWELL INTERNATIONAL INC.,126,140,171,95,102,634
72,3,AZ,(U.S.),ARIZONA,"FREESCALE SEMICONDUCTOR, INC.",115,93,85,84,95,472
73,3,AZ,(U.S.),ARIZONA,RAYTHEON COMPANY,55,92,99,100,88,434
74,3,AZ,(U.S.),ARIZONA,"AMKOR TECHNOLOGY, INC.",28,32,33,33,28,154
75,3,AZ,(U.S.),ARIZONA,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",20,41,39,29,17,146
76,3,AZ,(U.S.),ARIZONA,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",28,36,30,25,25,144
77,3,AZ,(U.S.),ARIZONA,ARIZONA STATE UNIVERSITY,13,16,32,36,46,143
78,3,AZ,(U.S.),ARIZONA,KARSTEN MANUFACTURING CORP.,16,21,15,28,29,109
79,3,AZ,(U.S.),ARIZONA,MICROCHIP TECHNOLOGY INCORPORATED,22,24,12,24,27,109
80,3,AZ,(U.S.),ARIZONA,BROADCOM CORPORATION,13,18,29,22,25,107
81,3,AZ,(U.S.),ARIZONA,"TEXAS INSTRUMENTS, INCORPORATED",16,11,22,16,18,83
82,3,AZ,(U.S.),ARIZONA,"ASM AMERICA, INC.",23,18,13,13,11,78
83,3,AZ,(U.S.),ARIZONA,"MCALISTER TECHNOLOGIES, LLC",0,5,19,12,42,78
84,3,AZ,(U.S.),ARIZONA,"W. L. GORE & ASSSOCIATES, INC.",0,1,24,22,24,71
85,3,AZ,(U.S.),ARIZONA,"LIMELIGHT NETWORKS, INC.",6,5,21,17,15,64
86,3,AZ,(U.S.),ARIZONA,"VIASAT, INC.",8,11,15,21,9,64
87,3,AZ,(U.S.),ARIZONA,"GO DADDY OPERATING COMPANY, LLC",0,0,27,19,15,61
88,3,AZ,(U.S.),ARIZONA,UNIVERSITY OF ARIZONA,9,17,7,11,16,60
89,3,AZ,(U.S.),ARIZONA,"GO DADDY GROUP, INC.",21,34,0,0,0,55
90,3,AZ,(U.S.),ARIZONA,"HELIAE DEVELOPMENT, LLC",0,1,27,15,12,55
91,3,AZ,(U.S.),ARIZONA,HUBBELL INCORPORATED,0,0,14,20,21,55
92,3,AZ,(U.S.),ARIZONA,"C. R. BARD, INC.",2,10,16,13,12,53
93,3,AZ,(U.S.),ARIZONA,MEDTRONIC INC.,9,7,10,11,15,52
94,3,AZ,(U.S.),ARIZONA,MARVELL INTERNATIONAL LTD.,12,9,13,6,9,49
95,3,AZ,(U.S.),ARIZONA,NXP B.V.,12,13,6,8,9,48
96,3,AZ,(U.S.),ARIZONA,BOEING COMPANY,14,6,10,8,9,47
97,3,AZ,(U.S.),ARIZONA,STANDARD MICROSYSTEMS CORPORATION,7,8,10,7,12,44
98,3,AZ,(U.S.),ARIZONA,"TASER INTERNATIONAL, INC.",8,13,11,7,5,44
99,3,AZ,(U.S.),ARIZONA,"VENTANA MEDICAL SYSTEMS, INC.",8,4,7,9,15,43
100,3,AZ,(U.S.),ARIZONA,DIAL CORPORATION,6,11,13,6,5,41
101,3,AZ,(U.S.),ARIZONA,"HON HAI PRECISION IND. CO., LTD.",9,8,6,9,5,37
102,3,AZ,(U.S.),ARIZONA,S.O.I. TEC SILICON ON INSULATOR TECHNOLOGIES S.A.,1,1,10,14,9,35
103,3,AZ,(U.S.),ARIZONA,"EVERSPIN TECHNOLOGIES, INC.",5,5,6,6,10,32
104,3,AZ,(U.S.),ARIZONA,"GORE ENTERPRISE HOLDINGS, INC.",14,15,2,0,0,31
105,3,AZ,(U.S.),ARIZONA,"RF MICRO DEVICES, INC.",2,6,4,9,10,31
106,3,AZ,(U.S.),ARIZONA,"SDC MATERIALS, INC.",1,5,1,10,14,31
107,3,AZ,(U.S.),ARIZONA,"GUIDED THERAPY SYSTEMS, L.L.C.",2,2,4,7,15,30
