table_row,ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,CY_2010,CY_2011,CY_2012,CY_2013,CY_2014,CY_ALL
1,1,AL,(U.S.),ALABAMA,444,352,413,503,500,2212
2,2,AK,(U.S.),ALASKA,28,27,28,46,49,178
3,3,AZ,(U.S.),ARIZONA,1976,2069,2210,2225,2517,10997
4,4,AR,(U.S.),ARKANSAS,144,134,178,159,204,819
5,5,CA,(U.S.),CALIFORNIA,27336,28147,32107,36193,40661,164444
6,6,CO,(U.S.),COLORADO,2135,2102,2442,2793,3184,12656
7,7,CT,(U.S.),CONNECTICUT,1875,1939,2108,2168,2309,10399
8,8,DE,(U.S.),DELAWARE,367,418,445,453,442,2125
9,9,FL,(U.S.),FLORIDA,2977,3136,3686,3953,4210,17962
10,10,GA,(U.S.),GEORGIA,1907,1933,2128,2506,2669,11143
11,11,HI,(U.S.),HAWAII,121,101,108,125,136,591
12,12,ID,(U.S.),IDAHO,1095,1032,930,992,1012,5061
13,13,IL,(U.S.),ILLINOIS,3611,3806,4345,4644,5106,21512
14,14,IN,(U.S.),INDIANA,1492,1437,1741,1921,2049,8640
15,15,IA,(U.S.),IOWA,763,811,854,933,1000,4361
16,16,KS,(U.S.),KANSAS,615,707,1004,1018,960,4304
17,17,KY,(U.S.),KENTUCKY,536,488,543,553,646,2766
18,18,LA,(U.S.),LOUISIANA,304,308,364,395,434,1805
19,19,ME,(U.S.),MAINE,211,183,211,234,212,1051
20,20,MD,(U.S.),MARYLAND,1578,1513,1609,1748,1851,8299
21,21,MA,(U.S.),MASSACHUSETTS,4923,5191,5734,6409,6725,28982
22,22,MI,(U.S.),MICHIGAN,3823,3964,4598,5119,5306,22810
23,23,MN,(U.S.),MINNESOTA,3597,3860,3902,4292,4626,20277
24,24,MS,(U.S.),MISSISSIPPI,145,147,140,161,153,746
25,25,MO,(U.S.),MISSOURI,975,878,1015,1184,1257,5309
26,26,MT,(U.S.),MONTANA,105,96,119,118,115,553
27,27,NE,(U.S.),NEBRASKA,214,208,292,307,364,1385
28,28,NV,(U.S.),NEVADA,540,553,752,840,834,3519
29,29,NH,(U.S.),NEW HAMPSHIRE,725,725,734,822,889,3895
30,30,NJ,(U.S.),NEW JERSEY,3874,3850,4224,4717,5036,21701
31,31,NM,(U.S.),NEW MEXICO,434,389,417,443,423,2106
32,32,NY,(U.S.),NEW YORK,7082,6956,7640,8489,8904,39071
33,33,NC,(U.S.),NORTH CAROLINA,2636,2607,2977,3143,3411,14774
34,34,ND,(U.S.),NORTH DAKOTA,107,84,96,111,104,502
35,35,OH,(U.S.),OHIO,3230,3177,3387,3688,3755,17237
36,36,OK,(U.S.),OKLAHOMA,516,484,471,548,572,2591
37,37,OR,(U.S.),OREGON,2040,1977,2059,2164,2391,10631
38,38,PA,(U.S.),PENNSYLVANIA,3350,3219,3483,3961,4091,18104
39,39,RI,(U.S.),RHODE ISLAND,276,306,329,321,363,1595
40,40,SC,(U.S.),SOUTH CAROLINA,517,656,850,873,907,3803
41,41,SD,(U.S.),SOUTH DAKOTA,70,96,113,129,115,523
42,42,TN,(U.S.),TENNESSEE,925,969,930,1003,1060,4887
43,43,TX,(U.S.),TEXAS,7545,7583,8367,9222,10022,42739
44,44,UT,(U.S.),UTAH,1017,1065,1167,1228,1374,5851
45,45,VT,(U.S.),VERMONT,642,504,487,529,578,2740
46,46,VA,(U.S.),VIRGINIA,1587,1600,1691,1886,2078,8842
47,47,WA,(U.S.),WASHINGTON,5258,4765,5390,5878,6448,27739
48,48,WV,(U.S.),WEST VIRGINIA,118,94,135,145,134,626
49,49,WI,(U.S.),WISCONSIN,1814,1784,1785,2025,2107,9515
50,50,WY,(U.S.),WYOMING,82,65,120,113,122,502
51,51,DC,(U.S.),DISTRICT OF COLUMBIA,82,97,131,133,161,604
52,52,GU,(U.S.),GUAM,0,0,0,3,3,6
53,54,PR,(U.S.),PUERTO RICO,24,27,34,19,38,142
54,56,VI,(U.S.),U.S. VIRGIN ISLANDS,2,3,3,6,4,18
55,58,US,(U.S.),U.S. UNSPECIFIED REGION,1,0,0,2,0,3
56,63,AFX,(Foreign),AFGHANISTAN,0,0,1,0,1,2
57,65,ALX,(Foreign),ALBANIA,0,0,0,1,0,1
58,69,DZX,(Foreign),ALGERIA,1,0,0,0,0,1
59,73,ADX,(Foreign),ANDORRA,1,1,2,0,2,6
60,77,AOX,(Foreign),ANGOLA,0,0,2,0,1,3
61,81,AIX,(Foreign),ANGUILLA,0,1,1,0,0,2
62,85,AGX,(Foreign),ANTIGUA AND BARBUDA,0,1,3,1,0,5
63,89,ARX,(Foreign),ARGENTINA,45,49,63,75,71,303
64,93,AMX,(Foreign),ARMENIA,2,7,2,3,6,20
65,97,AWX,(Foreign),ARUBA,0,0,0,2,0,2
66,101,AUX,(Foreign),AUSTRALIA,1748,1921,1525,1631,1693,8518
67,105,ATX,(Foreign),AUSTRIA,727,753,858,1009,1180,4527
68,109,AZX,(Foreign),AZERBAIJAN,0,2,1,1,2,6
69,113,BSX,(Foreign),THE BAHAMAS,5,9,9,5,2,30
70,117,BHX,(Foreign),BAHRAIN,1,0,1,2,3,7
71,121,BDX,(Foreign),BANGLADESH,0,0,1,3,2,6
72,125,BBX,(Foreign),BARBADOS,1,0,0,0,3,4
73,129,BYX,(Foreign),BELARUS,7,3,7,6,7,30
74,133,BEX,(Foreign),BELGIUM,820,802,866,1062,1220,4770
75,145,BMX,(Foreign),BERMUDA,3,5,2,3,1,14
76,149,BOX,(Foreign),BOLIVIA,0,1,0,2,1,4
77,153,BAX,(Foreign),BOSNIA AND HERZEGOVINA,0,0,3,0,0,3
78,161,BRX,(Foreign),BRAZIL,175,215,196,254,334,1174
79,165,VGX,(Foreign),BRITISH VIRGIN ISLANDS,0,1,0,0,2,3
80,169,BNX,(Foreign),BRUNEI DARUSSALAM,0,1,0,0,0,1
81,173,BGX,(Foreign),BULGARIA,58,43,24,29,48,202
82,185,CMX,(Foreign),CAMEROON,4,0,3,4,1,12
83,189,CAX,(Foreign),CANADA,4852,5014,5775,6547,7043,29231
84,193,KYX,(Foreign),CAYMAN ISLANDS,3,3,8,12,12,38
85,201,CLX,(Foreign),CHILE,22,35,37,54,63,211
86,205,HKX,(Foreign),"CHINA, HONG KONG S.A.R.",429,419,532,540,606,2526
87,209,MOX,(Foreign),"CHINA, MACAU S.A.R.",1,6,3,10,11,31
88,213,CNX,(Foreign),"CHINA, PEOPLE'S REPUBLIC OF",2657,3174,4637,5928,7236,23632
89,221,COX,(Foreign),COLOMBIA,6,6,12,16,21,61
90,233,CRX,(Foreign),COSTA RICA,8,14,9,9,12,52
91,241,HRX,(Foreign),CROATIA,9,16,22,17,26,90
92,245,CUX,(Foreign),CUBA,8,6,5,13,19,51
93,247,CWX,(Foreign),CURACAO,0,0,0,0,1,1
94,249,CYX,(Foreign),CYPRUS,2,2,5,8,12,29
95,253,CZX,(Foreign),CZECH REPUBLIC,74,93,127,167,182,643
96,261,DKX,(Foreign),DENMARK,605,730,850,921,1051,4157
97,269,DOX,(Foreign),DOMINICAN REPUBLIC,1,2,0,7,2,12
98,273,ECX,(Foreign),ECUADOR,0,2,2,2,3,9
99,277,EGX,(Foreign),EGYPT,16,21,25,34,45,141
100,281,SVX,(Foreign),EL SALVADOR,0,0,0,1,0,1
101,285,EEX,(Foreign),ESTONIA,15,11,25,41,32,124
102,289,ETX,(Foreign),ETHIOPIA,0,0,0,0,1,1
103,297,FOX,(Foreign),FAROE ISLANDS,0,0,1,0,0,1
104,305,FIX,(Foreign),FINLAND,1143,951,1064,1221,1338,5717
105,309,FRX,(Foreign),FRANCE,4450,4532,5386,6083,6691,27142
106,321,GAX,(Foreign),GABON,0,0,0,0,1,1
107,329,GEX,(Foreign),GEORGIA (REPUBLIC OF),2,3,2,4,4,15
108,333,DEX,(Foreign),GERMANY,12363,11919,13835,15498,16550,70165
109,337,GHX,(Foreign),GHANA,1,1,0,0,1,3
110,341,GIX,(Foreign),GIBRALTAR,0,4,6,4,2,16
111,345,GRX,(Foreign),GREECE,47,58,82,65,62,314
112,349,GLX,(Foreign),GREENLAND,0,0,0,0,1,1
113,361,GTX,(Foreign),GUATEMALA,1,0,2,0,2,5
114,365,GGX,(Foreign),GUERNSEY,1,4,3,3,1,12
115,369,GNX,(Foreign),GUINEA,0,0,0,0,1,1
116,377,HTX,(Foreign),HAITI,0,0,0,1,0,1
117,385,HNX,(Foreign),HONDURAS,0,1,0,0,0,1
118,389,HUX,(Foreign),HUNGARY,91,100,105,134,159,589
119,393,ISX,(Foreign),ICELAND,22,22,21,22,44,131
120,397,INX,(Foreign),INDIA,1098,1234,1691,2424,2987,9434
121,401,IDX,(Foreign),INDONESIA,6,7,8,15,9,45
122,405,IRX,(Foreign),IRAN,7,16,25,35,28,111
123,413,IEX,(Foreign),IRELAND,252,304,338,431,467,1792
124,417,IMX,(Foreign),ISLE OF MAN,6,11,16,14,6,53
125,421,ILX,(Foreign),ISRAEL,1819,1981,2474,3012,3471,12757
126,425,ITX,(Foreign),ITALY,1798,1885,2120,2499,2628,10930
127,429,JMX,(Foreign),JAMAICA,4,1,2,3,6,16
128,433,JPX,(Foreign),JAPAN,44813,46139,50677,51919,53849,247397
129,437,JEX,(Foreign),JERSEY,2,4,7,7,3,23
130,441,JOX,(Foreign),JORDAN,0,5,3,6,7,21
131,445,KZX,(Foreign),KAZAKHSTAN,1,0,1,3,1,6
132,449,KEX,(Foreign),KENYA,1,3,0,3,5,12
133,453,KPX,(Foreign),"KOREA, NORTH",1,0,1,0,0,2
134,457,KRX,(Foreign),"KOREA, SOUTH",11671,12262,13233,14548,16469,68183
135,461,KWX,(Foreign),KUWAIT,14,24,32,84,98,252
136,473,LVX,(Foreign),LATVIA,3,3,5,4,10,25
137,477,LBX,(Foreign),LEBANON,4,9,8,7,6,34
138,489,LIX,(Foreign),LIECHTENSTEIN,16,15,16,23,36,106
139,493,LTX,(Foreign),LITHUANIA,8,9,5,6,5,33
140,497,LUX,(Foreign),LUXEMBOURG,31,40,42,54,43,210
141,501,MKX,(Foreign),MACEDONIA,0,1,0,0,1,2
142,505,MGX,(Foreign),MADAGASCAR,0,0,0,0,1,1
143,513,MYX,(Foreign),MALAYSIA,202,161,210,214,259,1046
144,521,MTX,(Foreign),MALTA,3,4,3,7,6,23
145,541,MXX,(Foreign),MEXICO,101,90,122,155,172,640
146,545,MDX,(Foreign),MOLDOVA,0,0,0,0,1,1
147,549,MCX,(Foreign),MONACO,8,8,8,11,21,56
148,551,MNX,(Foreign),MONGOLIA,0,0,0,1,0,1
149,557,MAX,(Foreign),MOROCCO,1,3,2,1,1,8
