ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,assignee_name,CY_2014,CY_ALL
1,AL,(U.S.),ALABAMA,~INDIVIDUALLY OWNED PATENT,81,440
1,AL,(U.S.),ALABAMA,NEKTAR THERAPEUTICS,33,138
1,AL,(U.S.),ALABAMA,"ADTRAN, INC.",35,98
1,AL,(U.S.),ALABAMA,AUBURN UNIVERSITY,14,67
1,AL,(U.S.),ALABAMA,CEDAR RIDGE RESEARCH LLC,2,66
1,AL,(U.S.),ALABAMA,UAB RESEARCH FOUNDATION,21,64
1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",13,64
1,AL,(U.S.),ALABAMA,"AT& T INTELLECTUAL PROPERTY I, L.P.",16,56
1,AL,(U.S.),ALABAMA,"CORRELATED MAGNETICS RESEARCH, LLC",20,49
1,AL,(U.S.),ALABAMA,"UNIVERSAL LIGHTING TECHNOLOGIES, INC.",8,46
1,AL,(U.S.),ALABAMA,UNIVERSITY OF ALABAMA,16,34
1,AL,(U.S.),ALABAMA,CFD RESEARCH CORPORATION,6,25
1,AL,(U.S.),ALABAMA,INTERNATIONAL BUSINESS MACHINES CORPORATION,1,24
1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, ARMY",5,20
1,AL,(U.S.),ALABAMA,BOEING COMPANY,4,19
1,AL,(U.S.),ALABAMA,"HONDA GIKEN KOGYO KABUSHIKI KAISHA (HONDA MOTOR CO., LTD.)",3,18
1,AL,(U.S.),ALABAMA,"SYNAPSE WIRELESS, INC.",4,17
1,AL,(U.S.),ALABAMA,"BARON SERVICES, INC.",2,14
1,AL,(U.S.),ALABAMA,FONTAINE FIFTH WHEEL COMPANY,0,13
1,AL,(U.S.),ALABAMA,"MEDICAL COMPONENTS, INC.",0,12
1,AL,(U.S.),ALABAMA,"ATRION MEDICAL PRODUCTS, INC.",0,11
1,AL,(U.S.),ALABAMA,"SOUTHERN COMPANY SERVICES, INC.",2,11
1,AL,(U.S.),ALABAMA,INTERGRAPH TECHNOLOGIES COMPANY,3,10
1,AL,(U.S.),ALABAMA,"KING KUTTER, INC.",2,10
1,AL,(U.S.),ALABAMA,NEXOLVE CORPORATION,0,10
1,AL,(U.S.),ALABAMA,Q-TRACK CORPORATION,2,10
1,AL,(U.S.),ALABAMA,SOUTHERN RESEARCH INSTITUTE,2,10
1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, DEPARTMENT OF HEALTH & HUMAN SERVICES",1,10
1,AL,(U.S.),ALABAMA,"UNITED TOLL SYSTEMS, INC.",0,10
